rs_category,rs_names,rs_phones,rs_address,rs_hours,rs_required,rs_services,rs_fees,rs_general,rs_eligibility,rs_website,rs_email
Mental Health & Substance Abuse,Pathway to Recovery,317-926-8557,2135 N. Alabama St.,Monday—Friday (10 AM) 12 step meeting; Wednesday (8 PM) AA meeting; Thursday (7:30 AM) NA meeting and (10:30 PM) AA meeting; Friday (10 PM) CA meeting; Sunday (8 PM) HA meeting.,,"Self-help substance abuse recovery meetings for people struggling with addictions, including meetings for Narcotics Anonymous, Alcoholics Anonymous, Cocaine Anonymous, and Heroin Anonymous. Additionally, six programs with three phases for adults experiencing homelessness, addiction, and mental health issues. Must complete pre-intake process. Abstinent-based with required program participation.",Rent is based off a sliding scale once a foundation for sobriety and gainful employment is secured.,,,,
Mental Health & Substance Abuse,The Salvation Army Harbor Light Center,317-972-1450,2400 N. Tibbs Ave.,Call ahead for an appointment.,,"Detoxification, residential treatment, intensive outpatient program, transitional housing.","$255 for initial deposit for detoxification, remaining charges are based on a sliding scale.",,,,
Mental Health & Substance Abuse,St. Vincent Stress Center,317-338-4800,8401 Harcourt Rd.,Crisis referral offered 24 hours/day by calling 317-338-4800.,,"Crisis and referral, inpatient treatment, partial hospitalization programs, intensive outpatient programs, aftercare groups, individual outpatient counseling, other specialized education, and consultation programs.","Commercial insurance, some Medicaid insurance products, Medicare, or fee for service. No sliding fee scale.","Mental health, substance abuse, and dual diagnosis treatment for children, adolescents, young adults, adults, and seniors.",,,
Mental Health & Substance Abuse,Trevor Project Helpline,866-488-7386,,,,24-hour toll-free suicide crisis line providing over-the-phone counseling and national referral.,,"For gay, lesbian, bisexual, transgender, queer and/or questioning 13- to 24-year-olds.",,,
Mental Health & Substance Abuse,Wheeler Mission Addiction Recovery,317-750-1471,245 N. Delaware St.,"Call for intake assessment appointment, Monday—Saturday.",Photo ID and birth certificate.,"Highly structured, seven-month Christ-Centered residential drug and/or alcohol addiction recovery program, work therapy, biblical counseling, anger management, relapse prevention, self-confrontation, and much more.","None, donations accepted.",,,www.wheelermission.org/our-work/mens-services,
Multi-Service Centers,Homeless Initiative Program  – HealthNet,317-957-2275,1835 N. Meridian St.,"Monday, Tuesday, and Thursday (8:30 AM to 11:30 AM and 1 PM to 4:30 PM), Wednesday (1 PM to 4:30 PM), Friday (8:30 AM to 11:30 AM).",,"Case management, employment assistance, walk-in, outreach, and veteran’s services.",,"For individuals and families, including emancipated minors. Special services for Veterans. Veterans should bring VA medical card or DD214 to determine eligibility for services.",,,
Multi-Service Centers,Horizon House,317-423-8909,1033 E. Washington St.,"Monday, Tuesday, Thursday, and Friday (7 AM to 10:30 AM and 11:30 AM to 3 PM); Wednesday (7 AM to 9:30 AM and 10:00 AM to 12:30 PM).",,"Restrooms/showers, laundry, local & toll free telephone access, mail pick up, case management, storage, employment program, housing relocation and support. On-site primary medical/mental health clinic, and civil legal consultation. First-time visitors should arrive at 7 AM for same-day enrollment meeting. Street outreach services are provided several days/evenings per week.",,"For homeless men and women, including military veterans and ex-offenders. All children under 18 must be accompanied by a parent or legal guardian.",,,
Multi-Service Centers,HRH & HHOOT,317-635-0500,916 E. Michigan St.,"Monday—Friday (10 AM to 4 PM, 6 PM to 8 PM), Saturday, Sunday (3 PM to 5 PM)",,"Support services and referral, clothing pantry, and serves breakfast, lunch, and dinner",,,,,
Multi-Service Centers,"Outreach, Inc.",317-951-8886,2822 E. New York St.,Tuesday and Friday (9 AM to 10 AM).,,,,,,,
School Services,Beech Grove City Schools,317-788-4481,5334 Hornet Ave.,,,,,,,,
School Services,Decatur Township,317-856-5265,5275 Kentucky Ave.,,,,,,,,
School Services,Franklin Township,317-862-2411,6141 S. Franklin Rd.,,,,,,,,
School Services,Indianapolis Public Schools,317-226-4000,120 E. Walnut St.,,,,,,,,
School Services,Lawrence Township,317-423-8200,6501 Sunnyside Rd.,,,,,,,,
School Services,Perry Township,317-789-3700,6548 Orinoco Ave.,,,,,,,,
School Services,Pike Township,317-293-0393,6901 Zionsville Rd.,,,,,,,,
School Services,Speedway Schools,317-244-0236,65335 W. 25th St.,,,,,,,,
School Services,Warren Township,317-869-4300,975 N. Post Rd.,,,,,,,,
School Services,Washington Township,317-845-9400,8550 Woodfield Crossing Blvd.,,,,,,,,
School Services,Wayne Township,317-988-8600,1220 S. High School Rd.,,,,,,,,
Services for Victims of Domestic Violence,ASSIST,317-346-2720,,,,"Individual counseling, support groups, case management/victim advocacy, crisis intervention, assistance filing protective orders, resource coordination and referrals, and forensic evidence collection.",Free,"Serving any person (ages 5+) who has been directly or indirectly affected by sexual, domestic, and physical violence.",,,assist@johnsonmemorial.org
Services for Victims of Domestic Violence,Families First,317-634-6341,"615 N. Alabama St., Suite 320 (English Foundation Building)","Monday—Thursday (8:30 AM to 8 PM), Friday (8:30 AM to 5 PM).",,"Group and individual counseling for families experiencing domestic violence, support groups, 8-week group program on how to recover from the experience of domestic abuse for children ages 3-17, anger management classes, and parent education classes.",Sliding scale fee applied per visit,Services offered in Spanish and English.,,,
Services for Victims of Domestic Violence,Legacy House,317-554-5272,2505 N. Arlington Ave. (Lower level of the North Arlington Community Health Center),Monday—Friday (8 AM to 5 PM),,"Counseling, crisis intervention, mentoring, and support groups.",Free,"For men, women, and children (as young at 4) who are victims of violent crimes.",,,
Services for Victims of Domestic Violence,Eskenazi Health Center of Hope,317-880-9189 or 317-880-8006,,,,"Medical care, forensic evidence collection, injury documentation, and crisis intervention to victims of sexual assault and family violence immediately following an assault. Follow-up medical care and counseling services also available.",Financial assistance available based on need. No charge for evidence-based needs for sexual assault.,For persons 16 years and older.,,,
Services for Victims of Domestic Violence,Indiana Coalition Against Domestic Violence Crisis Line,800-332-7385,,,,24-hour toll-free number that provides over-the- phone counseling and referral information. All languages spoken.,,,,,
Services for Victims of Domestic Violence,Pediatric Center of Hope,317-944-5000  or 317-274-2617,,,,"Medical care, forensic evidence collection, injury documentation, and crisis intervention to victims of sexual assault and family violence immediately following an assault. Follow-up medical care and counseling services also available.",Financial assistance available based on individual needs assessment.,Call 24 hours/day and ask for Pediatric Center of Hope nurse on call. For children 15 years and younger.,,,
Services for Victims of Domestic Violence,The Salvation Army Women and Children’s Center,317-637-5551,540 N. Alabama St.,,Photo ID recommended.,,,For victims of domestic violence: exclusively women and women with children. Services are provided to men and men with children. Intakes done 24 hours/day.,,,
Services for Victims of Domestic Violence,The Julian Center,317-941-2200 / Crisis Line 317-920-9320 (24 hours),2011 N. Meridian St.,"Administration—Monday—Friday (8:30 AM to 4 PM); intakes done 24 hours/day, call for an appointment.",,"Emergency shelter, advocacy, domestic violence education, economic empowerment, legal referrals, mental health counseling, transitional housing. For all services (residential and non-residential, call the Crisis Line.",No fee; must complete assessment with advocate to receive services.,For domestic violence and sexual assault survivors of all gender identities.,,,
Services for Victims of Domestic Violence,Indianapolis Metropolitan Police Department Victim Assistance,317-327-3331 / TTY 317-327-3315,"50 N. Alabama St., Suite E324",24 hours.,,"Crisis counseling, information and referral, and assistance with filing Violent Crime Compensation forms. Information about the criminal justice system, including court procedures, the prosecutor’s role, and how to obtain protective orders.",,,,,
Services for Victims of Domestic Violence,Marion County Clerk’s Office of Protective Order Intake,317-327-8577,"200 E. Washington St., Court 21 (City-County Building)",Monday—Friday (8 AM to 3 PM),,Protective orders to victims of domestic violence; walk in to file protective orders. Must have address on the person you’re filling against.,Free,,,,
Veterans’ Assistance,Homeless Initiative Program  – HealthNet,317-957-2275,1835 N. Meridian St.,"Monday, Tuesday, and Thursday (8:30 AM to 11:30 AM and 1 PM to 4:30 PM), Wednesday (1 PM to 4:30 PM), Friday (8:30 AM to 11:30 AM).",,"Case management, employment assistance, walk-in, outreach, and veteran’s services.",,"For individuals and families, including emancipated minors. Special services for Veterans. Veterans should bring VA medical card or DD214 to determine eligibility for services.",,,
Veterans’ Assistance,HRH & HHOOT,317-635-0500,916 E. Michigan St.,"Monday—Friday (10 AM to 4 PM and 6 PM to 8 PM), Saturday, Sunday (3 PM to 5 PM).",,Support Services and referral.,,,,,
Veterans’ Assistance,"HVAF of Indiana, Inc.",317-951-0688,964 N. Pennsylvania St.,"Outreach is Tuesday and Thursday (12:30 PM to 3:30 PM) sign-in ends at 2:30 pm; services offered include housing assistance, food, clothing, and personal hygiene items.",,"Supportive housing, recovery program, employment services, food, clothing, personal hygiene items, and street outreach to homeless veterans.",,For homeless or near homeless veterans of the military.,,,
Veterans’ Assistance,Indianapolis Vet Center,317-988-1600,"8330 Naab Rd., Suite 103","Monday—Wednesday (7 AM to 7 PM), Thursday—Friday (7 AM to 4:30 PM), Saturday (7 AM to 3:30 PM) walk in or call to sign up for services.",,Individual and group therapy counseling.,Free,For all veterans.,,,
Veterans’ Assistance,Richard L. Roudebush VA Medical Center,317-554-0000/888-878-6889,1481 W. 10th St.,Emergency Hours: 24 hours/day; Monday—Friday (8 AM to 4:30 PM); walk in to sign up for non-emergency services.,,"Medical, mental health (inpatient/outpatient), homeless services, vocational rehabilitation, medical social work, substance abuse treatment (outpatient).",Determined upon eligibility.,,Must be a person who served in the active military service and who was discharged or released under conditions other than dishonorable.,,
Veterans’ Assistance,Veterans’ Benefits,800-827-1000,"575 N. Pennsylvania St., Rm. 324",Call ahead for assistance.,,"Veterans’ claims assistance benefits, referrals for housing, employment, ex-offender re-entry, and other resources.",Free,For homeless or near homeless veterans of the military.,,,
Veterans’ Assistance,Veterans of Foreign Wars ,317-916-3629,"575 N. Pennsylvania St., Room 319",Monday—Friday (8 AM to 4 PM); walk in or call for assistance.,,Assistance filing for benefits.,Free,For veterans and surviving spouses.,,,
Veterans’ Assistance,Veterans’ Suicide Hotline,800-273-TALK,,,,24-hour toll-free number providing immediate crisis counseling.,,,,,
Neighborhood Community Centers,Brightwood Community Center,317-778-0846 or 317-546-8200,3130 E. 30th St.,,,,,,,www.brightwoodcc.org,
Neighborhood Community Centers,CAFE – Community Alliance of the Far Eastside,317-890-3288,8902 E. 38th St.,,,,,,,www.cafeindy.org,
Neighborhood Community Centers,CAGI – Community Action of Greater Indianapolis,317-396-1800,3266 N. Meridian Street,,,,,,,www.cagi-in.org,
Neighborhood Community Centers,Christamore House,317-635-7211,502 N. Tremont St.,,,,,,,www.christamorehouse.org,
Neighborhood Community Centers,Concord Neighborhood Center,317-637-4376,1310 S. Meridian St.,,,,,,,www.concordindy.org,
Neighborhood Community Centers,"Eagle Creek Community Center, Salvation Army",317-299-4454,4400 N. High School Rd.,,,,,,,,
Neighborhood Community Centers,Edna Martin Christian Center,317-637-3776,2605 E. 25th Street,,,,,,,,
Neighborhood Community Centers,Fay Biccard Glick Neighborhood Center,317-293-2600,2990 W. 71st St.,,,,,,,www.faybiccardglickcenter.org,
Neighborhood Community Centers,Flanner House of Indianapolis,317-925-4231,2424 Dr. Martin Luther King St.,,,,,,,www.flannerhouse.com,
Neighborhood Community Centers,Fletcher Place Community Center,317-636-3466,1637 E. Prospect St.,,,,,,,www.fletcherplacecc.org,
Neighborhood Community Centers,Forest Manor Multi-Service Center,317-545-1204,5603 E. 38th St.,,,,,,,www.fmmsc.org,
Neighborhood Community Centers,Fountain Square Salvation Army Corps Community Center,317-632-0156,1337 S. Shelby St.,,,,,,,corps.salvationarmyindiana.org/fountainsquare,
Neighborhood Community Centers,Hawthorne Community Center,317-637-4312,70 N. Mount St.,,,,,,,www.hawthornecenter.org,
Neighborhood Community Centers,John H. Boner Community Center,317-633-8210,2236 E. 10th St.,,,,,,,www.jhbcc.org,
Neighborhood Community Centers,La Plaza – Neighborhood Center,317-890-4396,8902 E. 38th St.,,,,,,,www.laplazaindy.org/,
Neighborhood Community Centers,Mary Rigg Neighborhood Center,317-639-6106,1920 W. Morris St.,,,,,,,www.maryrigg.org,
Neighborhood Community Centers,Martin Luther King  Community Center,317-923-4581,40 W. 40th St.,,,,,,,www.mlkcenterindy.org,
Neighborhood Community Centers,Shepherd Community Center,317-375-0203,4107 E. Washington St.,,,,,,,www.shepherdcommunity.org,
Neighborhood Community Centers,Southeast Community Services,317-236-7400,901 S. Shelby St.,,,,,,,southeastindy.org,
